,"Group name","F.striped bass (1e6 mt/year)","F.menhaden (1e6 mt/year)","F.spiny dogfish (1e6 mt/year)","F.bluefish (1e6 mt/year)","F.weakfish (1e6 mt/year)","F.herring (1e6 mt/year)","Discard survival",
1,"striped bass 0",0,0,0,0,0,0,0,
2,"striped bass 2-5",0,0,0,0,0,0,0,
3,"striped bass 6+",0,0,0,0,0,0,0,
4,"menhaden juv",0,0,0,0,0,0,0,
5,"menhaden adult",0,0,0,0,0,0,0,
6,"spiny dogfish",0,0,0,0,0,0,0,
7,"bluefish juv",0,0,0,0,0,0,0,
8,"bluefish adult",0,0,0,0,0,0,0,
9,"weakfish juv",0,0,0,0,0,0,0,
10,"weakfish adult",0,0,0,0,0,0,0,
11,"Atlantic herring 0-1",0,0,0,0,0,0,0,
12,"Atlantic herring 2+",0,0,0,0,0,0,0,
13,anchovies,0,0,0,0,0,0,0,
14,benthos,0,0,0,0,0,0,0,
15,zooplankton,0,0,0,0,0,0,0,
16,phytoplankton,0,0,0,0,0,0,0,
17,Detritus,0,0,0,0,0,0,0,
,"Discard survival",0,0,0,0,0,0,0,
