,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,"striped bass 0",0,0.00097688,0.001985338,0,0,0,0,0,0,0,0.000672085,0.001008075,0.00042302,0,0,0,0,0,0,0,
2,"striped bass 2-5",0,0,0.000992669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,"striped bass 6+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"menhaden 0",0.01986006,0.0779909,0.07627998,0,0,0,0,0,0,0,0.002616561,0.009068341,0.02732076,0.01296298,0.02545697,0,0,0,0,0,
5,"menhaden 1",0.0111406,0.04366667,0.07213762,0,0,0,0,0,0,0,0.000750171,0,0.02494038,0,0.009724258,0,0,0,0,0,
6,"menhaden 2",0.008759402,0.03433333,0.05671889,0,0,0,0,0,0,0,0.000589829,0,0.01960962,0,0.00764579,0,0,0,0,0,
7,"menhaden 3",0,0.000282132,0.02797152,0,0,0,0,0,0,0,0.000189028,0,0.001396552,0,0.000121303,0,0,0,0,0,
8,"menhaden 4",0,0.000253918,0.02517436,0,0,0,0,0,0,0,0.000170125,0,0.001256897,0,0.000109173,0,0,0,0,0,
9,"menhaden 5",0,0.000238245,0.02362039,0,0,0,0,0,0,0,0.000159624,0,0.00117931,0,0.000102434,0,0,0,0,0,
10,"menhaden 6+",0,0.000225705,0.02237721,0,0,0,0,0,0,0,0.000151223,0,0.001117241,0,9.7E-05,0,0,0,0,0,
11,"spiny dogfish",0,0,0,0,0,0,0,0,0,0,0.000671414,0,0,0,0,0,0,0,0,0,
12,"bluefish juv",0,0.000977857,0.0009916771,0,0,0,0,0,0,0,0,0,0.009804257,0,0,0,0,0,0,0,
13,"bluefish adult",0,0,0.000992669,0,0,0,0,0,0,0,0,0,0.000699509,0,0,0,0,0,0,0,
14,"weakfish juv",0.001988157,0.003907519,0,0,0,0,0,0,0,0,0,0.001002022,0.00104802,0.001011947,0.005665302,0,0,0,0,0,
15,"weakfish adult",0,0,0,0,0,0,0,0,0,0,0,0,0.00140182,0,0.001096131,0,0,0,0,0,
16,"Atlantic herring 0-1",0,0.001722555,0.01077274,0,0,0,0,0,0,0,0.0078,0,0.00284321,0,0,0.002573451,0.001573451,0,0,0,
17,"Atlantic herring 2+",0,0.02172256,0.05077274,0,0,0,0,0,0,0,0.0618,0,0.02864321,0,0,0.002573451,0.003573451,0,0,0,
18,anchovies,0.1123309,0.2315205,0.2541233,0,0,0,0,0,0,0,0.007385553,0.443553,0.2122315,0.4358773,0.4446496,0.02722019,0.02722019,0,0,0,
19,benthos,0.5139385,0.3526535,0.1012523,0,0,0,0,0,0,0,0.2176646,0.0241938,0.03203819,0.2038021,0.16938,0.1772083,0.1772083,0.101,0.09028613,0.000722674,
20,zooplankton,0.1461295,0.01563008,0.001985338,0.4204203,0.54,0.54,0.66,0.66,0.66,0.66,0.2339516,0.01108882,0.008580791,0.2379655,0.1638994,0.7839414,0.7839414,0.684,0.02128043,0.2614469,
21,phytoplankton,0,0.00097688,0.002978007,0.3013013,0.239,0.239,0.177,0.177,0.177,0.177,0,0,0.00154695,0.001178047,0.000365377,0,0,0.155,0.2291137,0.4900467,
22,Detritus,0,0,0,0.2782783,0.221,0.221,0.163,0.163,0.163,0.163,0,0,0,0,0,0,0,0.06,0.4131078,0.1993827,
,Import,0.1858927,0.2129598,0.2690133,8E-08,0,0,0,0,0,0,0.4654242,0.5100859,0.6241609,0.1072022,0.1716991,0.006483204,0.006483204,0,0.2462119,0.04840104,
,Sum,1.00004,1.000039,1.00014,0.9999999,1,1,1,1,1,1,0.9999959,0.9999999,1.000242,1,1.000012,1,1,1,0.9999999,1,
,"(1 - Sum)",-3.98159E-05,-3.898144E-05,-0.0001399517,5.960464E-08,0,0,0,0,0,0,4.053116E-06,5.960464E-08,-0.0002421141,0,-1.192093E-05,0,0,0,5.960464E-08,0,
